symptom,treatment,bodypart,diagnosis,others
back pain with stiffness,physical therapy,spine,spondyloarthritis,chronic inflammation
hand tingling,nerve vitamins,hands,carpal tunnel syndrome,repetitive strain
burning while urinating,hydration + antibiotic,bladder,cystitis,bacterial infection
difficulty swallowing,PPI + soft diet,throat,esophagitis,acid reflux
abdominal fullness,diet control,abdomen,fatty liver,obesity
eye dryness,lubricating drops,eyes,dry eye syndrome,low humidity
swelling in thyroid area,thyroid hormone,neck,goiter,iodine deficiency
lower abdominal pain,surgical removal,pelvis,ovarian cyst,hormonal imbalance
skin thickening,steroid cream,skin,scleroderma,autoimmune disorder
breathlessness at night,oxygen therapy,lungs,sleep apnea,obesity
arm pain,physiotherapy,arm,tendonitis,repetitive work
itchy scalp,antifungal shampoo,scalp,fungal infection,sweating
night-time cough,inhaler,lungs,bronchial asthma,allergy
shoulder stiffness,physiotherapy + heat,shoulder,frozen shoulder,muscle adhesion
cold extremities,circulation therapy,limbs,Raynaud’s disease,cold exposure
swelling behind ear,antibiotic,ear,mastoiditis,bacterial cause
irregular heartbeat,beta blocker,heart,arrhythmia,stress
joint deformity,disease-modifying drugs,joints,rheumatoid arthritis,chronic inflammation
persistent fatigue,thyroid supplement,whole body,hypothyroidism,hormonal cause
side pain with fever,antibiotics,kidneys,pyelonephritis,infection
heavy sweating,topical aluminum chloride,skin,hyperhidrosis,anxiety
calf pain,rest + compression,legs,muscle strain,exercise
red scaly rash,topical steroid,skin,psoriasis,chronic flare
flank tenderness,hydration + pain relief,flank,renal colic,kidney stone
chronic abdominal bloating,enzyme supplement + diet change,stomach,irritable bowel syndrome,stress trigger
painful urination,antibiotic + rest,bladder,cystitis,bacterial cause
itchy dry patches,steroid cream,skin,psoriasis,autoimmune condition
sudden vision loss,ophthalmic steroid,eyes,optic neuritis,nerve inflammation
pain in right lower abdomen,surgical removal,abdomen,appendicitis,acute pain
yellowish eyes,antiviral + fluids,liver,jaundice,viral hepatitis
swelling of thyroid,thyroid hormone,neck,goiter,iodine deficiency
pain in toes,uric acid control,joints,gout,high protein diet
itchy scalp,medicated shampoo,scalp,seborrheic dermatitis,stress
tight chest on exertion,nitrate + oxygen,chest,angina,cardiac issue
frequent night urination,alpha blocker,bladder,benign prostatic hypertrophy,enlarged prostate
numb hands,physiotherapy + nerve vitamin,arms,carpal tunnel syndrome,repetitive strain
swelling around ankles,diuretic + salt restriction,legs,edema,kidney dysfunction
bloating after meals,probiotic + diet correction,stomach,dyspepsia,overeating
dull flank pain,hydration therapy,kidneys,renal stone,low fluid intake
red facial rash,topical antibiotic,face,rosacea,sun exposure
tingling in feet,vitamin therapy,feet,peripheral neuropathy,diabetes
chronic cough,bronchodilator inhaler,lungs,COPD,smoking
back stiffness,physiotherapy,spine,spondylosis,poor posture
pain after meals,PPI + rest,stomach,peptic ulcer,spicy food
itchy feet,antifungal cream,feet,athlete’s foot,moist shoes
finger joint pain,disease-modifying drugs,hands,rheumatoid arthritis,autoimmune
loss of hair patches,topical steroid,scalp,alopecia areata,stress factor
persistent sore throat,gargle + antibiotic,throat,chronic tonsillitis,bacterial
tenderness under ribs,antispasmodic + rest,abdomen,splenomegaly,infection
skin thickening,steroid ointment,skin,scleroderma,connective tissue disorder
swollen eyelids,antihistamine + compress,eyes,allergic edema,dust exposure
burning urination,antibiotic + fluids,urinary tract,bladder infection,dehydration
sudden weakness on one side,physiotherapy + rest,face,Bell’s palsy,viral
heel pain,rest + footwear modification,heel,plantar fasciitis,long standing
chronic fatigue,iron + vitamin supplement,whole body,anemia,poor diet
abdominal cramps,anti-inflammatory,colon,colitis,infection
itchy palms,antihistamine cream,hands,dermatitis,soap irritation
numb toes,nerve vitamin,feet,neuropathy,diabetes complication
skin peeling,moisturizer,hands,eczema,winter dryness
chest heaviness,nitrate + rest,chest,angina,stress
swelling in neck,thyroid supplement,neck,thyroiditis,inflammation
painful knees,physiotherapy + rest,knees,osteoarthritis,aging
rash with fever,antiviral + rest,skin,chickenpox,viral
eye irritation,lubricating drops,eyes,conjunctivitis,contact lens use
stomach fullness,diet modification,abdomen,fatty liver,obesity
red rash,steroid lotion,skin,eczema,allergic reaction
backache,physiotherapy + massage,spine,muscle strain,poor posture
pain after urination,antibiotic,urinary tract,prostatitis,infection
abdominal tenderness,antibiotics,abdomen,diverticulitis,bowel inflammation
swelling of limbs,compression stocking,legs,varicose veins,long standing
sore joints,warm compress + medication,elbows,bursitis,repetitive motion
loss of appetite,enzyme therapy,stomach,gastritis,irregular diet
burning eyes,lubricating drops,eyes,dry eye,prolonged screen time
excessive sweating,topical aluminum chloride,skin,hyperhidrosis,anxiety
pain in lower back,physiotherapy,back,slipped disc,lifting injury
thickened nails,antifungal tablets,nails,onychomycosis,infection
abdominal pain with nausea,antacid + fluids,abdomen,peptic ulcer,irregular meals
swelling of face,antihistamine,face,angioedema,allergic reaction
dry patches on scalp,medicated lotion,scalp,psoriasis,chronic skin issue
chest tightness,bronchodilator,lungs,asthma,dust exposure
dizziness on standing,hydration + rest,whole body,orthostatic hypotension,low blood pressure
skin redness,soothing cream,skin,dermatitis,irritation
tenderness near joints,anti-inflammatory,elbows,gout,uric acid elevation
numbness in legs,vitamin therapy,spine,neuropathy,long sitting hours
painful shoulder,physiotherapy + rest,shoulder,frozen shoulder,overuse
fatigue after meals,rest + hydration,whole body,hypoglycemia,low blood sugar
swelling around jaw,antibiotic,mouth,salivary gland infection,bacterial
cracked lips,lip balm + fluids,lips,dehydration,dry weather
constant coughing,bronchodilator + steroid,chest,chronic bronchitis,pollution
itchy rash on arms,antihistamine lotion,arms,eczema,detergent allergy
night sweats,antibiotic + therapy,lungs,tuberculosis,chronic infection
numb cheeks,physiotherapy,face,Bell’s palsy,viral inflammation
swelling in abdomen,low-salt diet + rest,abdomen,ascites,liver disorder
itchy throat,antihistamine + gargle,throat,allergic pharyngitis,dust
mild fever + chills,antipyretic + hydration,body,malaria,mosquito bite
pain under ribs,rest + medication,abdomen,splenic enlargement,infection
persistent nausea,antacid + rest,stomach,gastritis,stress
persistent back pain,physiotherapy + rest,spine,lumbar spondylosis,age-related wear
swelling in abdomen,low-salt diet + diuretics,abdomen,ascites,liver disorder
shortness of breath,bronchodilator inhaler,lungs,COPD,smoking history
joint stiffness,disease-modifying therapy,joints,rheumatoid arthritis,autoimmune disease
fatigue with weight gain,thyroid hormone replacement,whole body,hypothyroidism,hormonal imbalance
burning chest,PPI + diet control,chest,peptic ulcer,irregular meals
tingling in hands,vitamin supplement,arms,carpal tunnel syndrome,repetitive motion
itchy skin rash,steroid cream,skin,eczema,detergent irritation
loss of appetite,digestive enzyme + fluids,stomach,gastritis,poor diet
lower abdominal pain,antibiotics,pelvis,pelvic inflammatory disease,infection
swelling in fingers,corticosteroid,hands,lupus,autoimmune
night cough,inhaler + rest,lungs,bronchial asthma,dust exposure
burning urination,antibiotic + fluids,urinary tract,bladder infection,poor hygiene
facial redness,topical antibiotic,face,rosacea,sunlight
heel pain,rest + stretching,heel,plantar fasciitis,long standing
red scaly rash,steroid cream,skin,psoriasis,chronic skin issue
chest tightness,nitrate + rest,chest,angina,exertion
dizziness on standing,fluids + salt tablets,whole body,postural hypotension,low BP
stiffness in neck,physiotherapy,neck,cervical spondylosis,posture
swelling in legs,diuretics + rest,legs,edema,kidney dysfunction
itchy scalp,antifungal shampoo,scalp,seborrheic dermatitis,stress
throat irritation,gargle + lozenges,throat,pharyngitis,infection
sharp abdominal pain,surgery,abdomen,appendicitis,acute onset
itchy rash,antihistamine lotion,skin,urticaria,allergic trigger
joint pain,uric acid-lowering therapy,joints,gout,red meat intake
tiredness,vitamin supplement,whole body,anemia,low iron
rash on cheeks,topical steroid,face,lupus rash,autoimmune
back stiffness,physiotherapy + rest,spine,ankylosing spondylitis,inflammation
weakness,electrolyte therapy,whole body,dehydration,heat exhaustion
hair loss,vitamin supplement,scalp,alopecia,hormonal imbalance
jaw pain,pain relief gel,jaw,temporomandibular disorder,stress
shortness of breath,oxygen + bronchodilator,lungs,emphysema,smoking
abdominal cramp,antispasmodic,abdomen,colitis,inflammation
pain on swallowing,antibiotics,throat,tonsillitis,bacterial
fatigue with swelling,diuretic + rest,legs,heart failure,fluid buildup
numb toes,nerve supplement,feet,peripheral neuropathy,diabetes
joint swelling,corticosteroid injection,joints,psoriatic arthritis,skin condition
abdominal bloating,enzyme supplement,stomach,IBS,stress
ear pain,antibiotic drops,ear,otitis externa,swimming
chest heaviness,nitrate + rest,chest,coronary artery disease,exertion
abdominal fullness,diet modification,stomach,fatty liver,obesity
swelling under eyes,antihistamine,eyes,allergy,pollen
muscle cramps,hydration + electrolyte,legs,dehydration,exercise
red eyes,antibiotic drops,eyes,conjunctivitis,infection
fatigue after meals,rest + hydration,whole body,hypoglycemia,poor diet
pain near ribs,analgesic,chest,costochondritis,inflammation
skin rashes,steroid cream,skin,dermatitis,allergy
dry cough,cough suppressant,throat,bronchitis,pollution
abdominal tenderness,antibiotics,abdomen,diverticulitis,bowel infection
loss of sensation,vitamin therapy,limbs,neuropathy,deficiency
swelling in thyroid,thyroid supplement,neck,thyroiditis,hormonal
yellow eyes,antiviral + fluids,liver,hepatitis,infection
frequent urination,medication + rest,bladder,overactive bladder,nerve dysfunction
mild fever,paracetamol + fluids,whole body,viral infection,seasonal
shoulder stiffness,physiotherapy,shoulder,frozen shoulder,overuse
tingling in fingers,vitamin supplement,hands,nerve compression,repetitive work
nausea and vomiting,antiemetic,stomach,food poisoning,contaminated food
skin discoloration,topical ointment,skin,vitiligo,pigment loss
swelling of jaw,antibiotic,mouth,salivary gland infection,bacterial
persistent cough,inhaler,lungs,COPD,smoking
itchy scalp flakes,medicated shampoo,scalp,dandruff,fungal cause
mild chest pain,nitrate + rest,chest,angina,stress
loss of strength,vitamins + hydration,body,fatigue,lack of sleep
wrist pain,physiotherapy + rest,wrist,tendonitis,repetitive motion
nausea with upper pain,PPI + rest,stomach,ulcer,spicy food
light-headedness,fluids + rest,whole body,dehydration,summer heat
thickened nails,antifungal,nails,fungal infection,chronic moisture
abdominal pain,antibiotic + rest,abdomen,diverticulitis,bowel inflammation
joint swelling,anti-inflammatory,joints,gout,high uric acid
yellow skin,antiviral + rest,liver,hepatitis,viral infection
numbness in legs,vitamin B complex,spine,neuropathy,diabetes
fatigue with depression,antidepressant + counseling,brain,mild depression,stress
burning sensation in feet,vitamin therapy,feet,peripheral neuropathy,diabetes
back stiffness,physiotherapy,spine,ankylosing spondylitis,chronic inflammation
swelling in face,antihistamine + steroid,face,angioedema,allergy
shoulder pain,physiotherapy + rest,shoulder,frozen shoulder,posture issue
itchy rash,antifungal cream,skin,ringworm,humid weather
chest tightness,bronchodilator inhaler,lungs,asthma,dust allergy
flank pain,hydration + analgesic,flank,kidney stone,dehydration
burning urination,antibiotic + fluids,urinary tract,cystitis,infection
sore joints,NSAID + rest,knees,arthritis,age-related
lower abdominal cramps,antispasmodic,abdomen,IBS,stress
heaviness in chest,nitrate + rest,chest,angina,exertion
persistent cough,inhaler + steroid,lungs,chronic bronchitis,pollution
swelling in legs,diuretic + elevation,legs,edema,kidney issue
facial rash,topical ointment,face,rosacea,sunlight
weakness,vitamin D supplement,body,deficiency,lack of sunlight
eye dryness,lubricating drops,eyes,dry eye,screen exposure
itching,antihistamine + lotion,skin,eczema,soap allergy
abdominal bloating,digestive enzyme,stomach,dyspepsia,overeating
red eyes,antibiotic drops,eyes,conjunctivitis,bacterial infection
hair thinning,vitamin supplement,scalp,alopecia,hormonal imbalance
numb hands,nerve therapy,arms,carpal tunnel syndrome,repetitive strain
dull flank pain,hydration + rest,kidneys,renal stone,low water intake
swollen neck,thyroid hormone,neck,goiter,iodine deficiency
sharp chest pain,nitrate,chest,angina,heart strain
itching between toes,antifungal cream,feet,athlete’s foot,sweating
sore throat,lozenges + warm gargle,throat,tonsillitis,infection
stiffness in knees,physiotherapy,knees,osteoarthritis,aging
fatigue with chills,antipyretic + fluids,whole body,viral infection,seasonal
nausea,antiemetic,stomach,gastritis,irregular eating
tingling in arms,physiotherapy,arms,nerve compression,posture issue
burning mouth,antifungal rinse,mouth,oral thrush,medication side effect
swollen joints,corticosteroid,joints,lupus,autoimmune
dryness on skin,moisturizer,skin,xerosis,winter weather
numb toes,vitamin supplement,feet,neuropathy,diabetes
mild chest discomfort,nitrate + rest,chest,stable angina,exertion
eye redness,antihistamine drops,eyes,allergic conjunctivitis,pollen
pain while swallowing,antibiotic + gargle,throat,pharyngitis,bacterial
swollen abdomen,low-salt diet + rest,abdomen,ascites,liver disorder
facial numbness,physiotherapy,face,Bell’s palsy,viral
itchy rash on scalp,medicated shampoo,scalp,psoriasis,autoimmune
cough with mucus,expectorant + rest,lungs,bronchitis,cold
neck stiffness,physiotherapy + rest,neck,cervical spondylosis,posture
burning during urination,antibiotic + hydration,bladder,infection,bacterial
pain after eating,PPI + diet change,stomach,ulcer,spicy food
dizziness,rest + hydration,head,hypotension,dehydration
joint pain with redness,uric acid control,toes,gout,purine intake
sore gums,antiseptic rinse,mouth,gingivitis,poor hygiene
yellow nails,antifungal tablets,nails,fungal infection,moisture
swelling in hands,corticosteroid,fingers,rheumatoid arthritis,autoimmune
back pain,physiotherapy,spine,lumbar strain,poor posture
shortness of breath,oxygen therapy,lungs,COPD,smoking
stomach fullness,diet adjustment,abdomen,fatty liver,obesity
rash on arms,antihistamine cream,arms,dermatitis,allergy
hand tremor,beta blocker,hands,essential tremor,stress
fatigue with swelling,diuretic + rest,legs,heart failure,fluid overload
skin thickening,steroid cream,skin,scleroderma,autoimmune
soreness behind ear,antibiotic,ear,mastoiditis,bacterial infection
lightheadedness,hydration,whole body,low blood pressure,hot climate
rash with fever,antiviral + rest,skin,measles,viral infection
tingling sensation,vitamin therapy,limbs,neuropathy,deficiency
burning in chest,antacid,chest,GERD,fatty meal
stiff shoulder,physiotherapy,shoulder,tendonitis,overuse
cough at night,inhaler,lungs,asthma,allergy
numb cheeks,physiotherapy,face,Bell’s palsy,nerve inflammation
lower back pain,rest + physiotherapy,spine,herniated disc,posture issue
itching on scalp,antifungal lotion,scalp,fungal dermatitis,oily scalp
joint swelling,steroid therapy,knees,psoriatic arthritis,skin condition
persistent fatigue,thyroid supplement,body,hypothyroidism,hormonal issue
abdominal cramping,antispasmodic + fluids,abdomen,irritable bowel syndrome,stress-related
joint swelling,corticosteroid + rest,joints,rheumatoid arthritis,autoimmune condition
persistent cough,inhaled steroid,lungs,chronic bronchitis,pollution exposure
facial redness,topical antibiotic,face,rosacea,heat exposure
itchy scalp,medicated shampoo,scalp,psoriasis,autoimmune flare
shortness of breath,bronchodilator,chest,COPD,smoking
numbness in feet,vitamin supplement,feet,peripheral neuropathy,diabetes
fatigue,iron and B12 supplements,whole body,anemia,nutritional deficiency
abdominal pain,antibiotics,stomach,diverticulitis,bowel infection
sore joints,physiotherapy,knees,osteoarthritis,aging
dry flaky skin,moisturizing cream,skin,eczema,winter dryness
chest pressure,nitrate + rest,chest,angina,overexertion
eye irritation,lubricating drops,eyes,dry eye,prolonged screen time
yellow eyes,antiviral + rest,liver,hepatitis,viral cause
dizziness,rest + hydration,whole body,hypotension,dehydration
throat pain,lozenges + antibiotics,throat,tonsillitis,bacterial
swelling of ankles,diuretic + rest,legs,edema,heart condition
burning urination,antibiotic + hydration,urinary tract,cystitis,infection
numb hands,physiotherapy + vitamins,arms,carpal tunnel syndrome,repetitive motion
red itchy rash,antihistamine cream,skin,dermatitis,allergic reaction
heaviness after eating,PPI + diet change,stomach,gastritis,overeating
pain in joints,uric acid control,toes,gout,purine-rich diet
persistent fatigue,thyroid hormone,body,hypothyroidism,metabolic disorder
rash on scalp,medicated shampoo,scalp,seborrheic dermatitis,stress
back pain,physiotherapy,spine,lumbar spondylosis,poor posture
light-headedness,rest + hydration,whole body,dehydration,heat exposure
shortness of breath,oxygen + bronchodilator,lungs,emphysema,smoking damage
swollen fingers,corticosteroid,hands,lupus,autoimmune inflammation
nausea,antiemetic,stomach,gastritis,food irritation
itchy feet,antifungal cream,feet,athlete’s foot,fungal infection
chest heaviness,nitrate + rest,chest,coronary artery disease,hypertension
rash with scaling,steroid ointment,skin,psoriasis,chronic condition
numbness in legs,vitamin therapy,spine,neuropathy,prolonged sitting
sore tongue,antifungal gel,mouth,oral thrush,antibiotic use
painful urination,antibiotic,bladder,urinary tract infection,hygiene issue
swelling in neck,thyroid supplement,neck,thyroiditis,autoimmune thyroid
tingling sensation,vitamin supplement,limbs,nerve compression,deficiency
itchy palms,antihistamine,hands,dermatitis,allergic contact
abdominal fullness,enzyme therapy,abdomen,fatty liver,obesity
burning sensation in chest,PPI,chest,GERD,irregular diet
mild fever,antipyretic + rest,whole body,viral fever,weather change
dryness on hands,moisturizer,skin,eczema,winter
sore shoulder,physiotherapy,shoulder,tendonitis,overuse
back stiffness,physical therapy,spine,ankylosing spondylitis,chronic inflammation
abdominal bloating,diet modification,stomach,indigestion,overeating
itchy rash,steroid cream,skin,urticaria,insect bite
leg swelling,diuretics + salt control,legs,edema,kidney disorder
chest discomfort,bronchodilator,lungs,asthma,dust exposure
skin redness,topical ointment,skin,dermatitis,allergic trigger
knee pain,physiotherapy,knees,osteoarthritis,aging
persistent cough,antibiotic,lungs,pneumonia,bacterial infection
shoulder pain,stretching exercises,shoulder,bursitis,repetitive motion
itchy scalp,medicated lotion,scalp,dandruff,fungal growth
throat irritation,salt gargle,throat,pharyngitis,infection
abdominal pain with nausea,rest + PPI,stomach,peptic ulcer,spicy food
fatigue with weakness,vitamin supplement,body,anemia,iron deficiency
cracked lips,lip balm,mouth,dehydration,cold weather
swollen legs,compression stockings,legs,varicose veins,prolonged standing
nausea and vomiting,antiemetic + fluids,stomach,food poisoning,contamination
chest pain,nitrate + rest,chest,stable angina,exertion
rash with itching,antihistamine + cream,skin,eczema,detergent exposure
fatigue after exertion,rest + hydration,whole body,exhaustion,heat
joint stiffness,physiotherapy,joints,rheumatoid arthritis,autoimmune
burning urination,hydration + antibiotic,urinary tract,cystitis,bacterial
tingling in arms,vitamin therapy,arms,neuropathy,posture issue
swelling of face,antihistamine,face,angioedema,allergy
red scaly rash,steroid cream,skin,eczema,allergic
swollen thyroid,hormone therapy,neck,goiter,iodine deficiency
soreness in throat,lozenges + rest,throat,viral pharyngitis,cold air
fatigue,vitamin D supplement,body,deficiency,lack of sunlight
abdominal bloating,enzyme + rest,stomach,dyspepsia,heavy food
flank tenderness,hydration + analgesic,flank,kidney stone,dehydration
chronic cough,inhaled corticosteroid,lungs,COPD,smoking history
joint stiffness,physiotherapy,joints,osteoarthritis,aging
burning urination,antibiotic + rest,urinary tract,cystitis,infection
numbness in feet,vitamin B complex,legs,neuropathy,diabetes
lower back pain,physiotherapy,spine,lumbar strain,posture issue
itchy scalp,medicated shampoo,scalp,dandruff,fungal growth
red scaly skin,steroid cream,skin,psoriasis,autoimmune condition
throat irritation,lozenges + warm water gargle,throat,pharyngitis,viral infection
abdominal fullness,enzyme supplement,abdomen,fatty liver,high cholesterol
sore joints,anti-inflammatory,joints,rheumatoid arthritis,autoimmune
swelling of legs,diuretic + rest,legs,edema,kidney dysfunction
nausea,antiemetic + fluids,stomach,gastritis,irregular eating
tingling in fingers,vitamin therapy,arms,nerve compression,repetitive use
swollen ankles,compression stockings,legs,varicose veins,prolonged standing
numb hands,physiotherapy + vitamins,arms,carpal tunnel syndrome,desk work
yellow eyes,antiviral + fluids,liver,hepatitis,viral cause
chest pain,nitrate + rest,chest,angina,heart strain
burning mouth,antifungal mouthwash,mouth,oral thrush,antibiotic use
light-headedness,hydration + rest,whole body,hypotension,dehydration
itchy rash,antihistamine lotion,skin,eczema,allergic trigger
jaw pain,warm compress,jaw,TMJ disorder,clenching
lower abdominal pain,antibiotic,abdomen,cystitis,bacterial cause
eye irritation,lubricating drops,eyes,allergic conjunctivitis,pollen exposure
chest heaviness,bronchodilator + rest,lungs,COPD,pollution
mild fever,paracetamol + rest,body,viral infection,weather change
weakness,iron supplement,whole body,anemia,low hemoglobin
stiffness in neck,physiotherapy,neck,cervical spondylosis,posture issue
itchy feet,antifungal cream,feet,athlete’s foot,sweat accumulation
sore throat,lozenges + warm gargle,throat,tonsillitis,bacterial
back stiffness,stretching exercise,spine,ankylosing spondylitis,inflammatory
redness on skin,soothing cream,skin,dermatitis,allergy
swelling around eyes,antihistamine,face,allergy,dust
fatigue with swelling,diuretic + rest,legs,heart failure,fluid retention
sore gums,antiseptic rinse,mouth,gingivitis,poor oral hygiene
burning eyes,lubricating drops,eyes,eye strain,prolonged screen time
pain in lower abdomen,surgical removal,abdomen,appendicitis,acute pain
itchy scalp,medicated lotion,scalp,seborrheic dermatitis,oily skin
tingling in arms,vitamin supplement,arms,neuropathy,nerve compression
dry cough,cough suppressant,throat,bronchitis,viral
swelling in fingers,steroid therapy,hands,lupus,autoimmune disorder
shortness of breath on exertion,oxygen + rest,lungs,pulmonary fibrosis,long-term smoker
redness in eyes,antibiotic drops,eyes,conjunctivitis,bacterial infection
dull flank pain,hydration + rest,kidneys,renal stone,dehydration
itching on skin,antihistamine,skin,urticaria,detergent exposure
abdominal bloating,enzyme + diet correction,stomach,dyspepsia,overeating
numb toes,vitamin therapy,feet,peripheral neuropathy,diabetes complication
swelling in abdomen,low-salt diet + rest,abdomen,ascites,liver cirrhosis
pain in joints,anti-inflammatory,knees,gout,uric acid buildup
tingling in hands,physiotherapy,hands,carpal tunnel,repetitive work
rash on face,topical antibiotic,face,acne rosacea,sun exposure
sore tongue,antifungal gel,mouth,oral candidiasis,infection
stiffness in lower back,physiotherapy,spine,herniated disc,lifting
fatigue and headache,hydration + vitamins,whole body,dehydration,heat
swollen neck,thyroid hormone,neck,thyroiditis,iodine deficiency
dry lips,lip balm + hydration,lips,dehydration,cold air
pain during urination,antibiotic + fluids,urinary tract,bladder infection,bacterial
rash on arms,steroid cream,arms,eczema,allergic reaction
weak legs,rest + vitamins,legs,muscle fatigue,overuse
red spots on skin,antihistamine,skin,allergic rash,dust exposure
bloating after meals,enzyme supplement,stomach,gastritis,heavy meal
chest discomfort,nitrate + rest,chest,stable angina,exertion
itchy ears,antifungal drops,ear,otomycosis,moisture exposure
shoulder pain,heat therapy + rest,shoulder,tendonitis,lifting
backache,physiotherapy + rest,spine,lumbar strain,prolonged sitting
swollen thyroid,thyroid supplement,neck,goiter,hormonal issue
soreness in jaw,warm compress,jaw,TMJ disorder,teeth grinding
nausea and fatigue,hydration + rest,whole body,viral infection,mild flu
painful swallowing,antibiotic + gargle,throat,pharyngitis,bacterial infection
mild fever with cough,paracetamol + rest,whole body,flu,viral illness
muscle weakness,corticosteroid + rest,limbs,myasthenia gravis,autoimmune neuromuscular
chronic fatigue,hormone replacement,body,Addison’s disease,adrenal insufficiency
numbness in legs,IV immunoglobulin,nerves,Guillain–Barré syndrome,post-infectious
tremor in hands,dopamine agonist,brain,Parkinson’s disease,neurodegenerative
weight loss with diarrhea,gluten-free diet,intestine,celiac disease,autoimmune
dry mouth + dry eyes,artificial tears + hydration,glands,Sjögren’s syndrome,autoimmune
facial twitching,anticonvulsant therapy,face,hemifacial spasm,nerve irritation
double vision,corticosteroid + rest,eyes,multiple sclerosis,demyelinating disease
severe fatigue,corticosteroid,muscles,polymyositis,autoimmune inflammation
swollen joints,immunosuppressive therapy,joints,lupus erythematosus,autoimmune disorder
muscle cramps,electrolyte correction,limbs,hypoparathyroidism,calcium deficiency
darkening of skin,hormone therapy,body,Addison’s disease,adrenal issue
slurred speech,physiotherapy,face,motor neuron disease,nerve degeneration
severe weakness,plasma exchange,nerves,Guillain–Barré syndrome,viral trigger
uncontrolled shaking,dopaminergic medication,limbs,Parkinson’s disease,movement disorder
sensitivity to light,gluten-free diet,intestine,celiac disease,food intolerance
burning sensation in feet,vitamin B therapy,nerves,peripheral neuropathy,chronic diabetes
difficulty swallowing,physiotherapy,throat,myasthenia gravis,nerve-muscle junction
joint swelling,corticosteroid + DMARD,joints,systemic lupus erythematosus,autoimmune
numbness in arms,immunotherapy,spine,multiple sclerosis,nerve inflammation
dry skin + fatigue,hormone therapy,thyroid,Hashimoto’s thyroiditis,autoimmune
difficulty walking,physiotherapy,legs,muscular dystrophy,progressive weakness
unsteady gait,physiotherapy + medication,limbs,cerebellar ataxia,balance disorder
eye pain + blurred vision,steroid drops,eyes,uveitis,autoimmune
swelling of salivary glands,immunosuppressant,mouth,Sjögren’s syndrome,dry gland disease
muscle wasting,physiotherapy,limbs,amyotrophic lateral sclerosis,motor neuron loss
weakness after infection,IV immunoglobulin,limbs,Guillain–Barré syndrome,viral aftermath
shaking hands,dopaminergic therapy,arms,Parkinson’s disease,chronic condition
chronic cough,antifibrotic therapy,lungs,pulmonary fibrosis,scarring tissue
numbness + tingling,corticosteroid,nerves,multiple sclerosis,autoimmune demyelination
difficulty chewing,immunotherapy,face,myasthenia gravis,neuromuscular issue
brittle bones,calcium + vitamin D,bones,osteogenesis imperfecta,fragile bones
poor balance,physiotherapy,brain,cerebellar ataxia,neuro issue
hair loss + fatigue,steroid therapy,scalp,alopecia areata,autoimmune
yellow eyes + pain,steroid drops,eyes,autoimmune uveitis,inflammation
muscle stiffness,physiotherapy + relaxant,limbs,stiff person syndrome,neurological
difficulty breathing,oxygen + medication,lungs,pulmonary hypertension,rare vascular
dry mouth,artificial saliva,glands,Sjögren’s syndrome,autoimmune dryness
leg weakness,corticosteroid,spine,transverse myelitis,spinal inflammation
slurred speech,neurorehabilitation,brain,multiple sclerosis,demyelinating lesion
fatigue + joint pain,corticosteroid,joints,lupus erythematosus,systemic autoimmune
weight loss + nausea,hormone therapy,body,Addison’s disease,adrenal disorder
dizziness,salt tablet + medication,heart,postural orthostatic tachycardia syndrome,rare dysautonomia
tremor + rigidity,dopamine therapy,brain,Parkinson’s disease,motor control loss
tingling + weakness,immunotherapy,nerves,Guillain–Barré syndrome,infection aftermath
bloating + diarrhea,gluten-free diet,intestine,celiac disease,malabsorption
muscle tenderness,corticosteroid,body,polymyalgia rheumatica,inflammatory condition
numbness in feet,vitamin therapy,nerves,peripheral neuropathy,nerve damage
breathlessness,antifibrotic,lungs,pulmonary fibrosis,idiopathic
loss of coordination,physiotherapy,limbs,cerebellar ataxia,hereditary
face pain,anticonvulsant,face,trigeminal neuralgia,nerve disorder
dry eyes,lubricating drops,eyes,Sjögren’s syndrome,chronic dryness
pain in muscles,immunotherapy,muscles,dermatomyositis,autoimmune
double vision + droopy eyelids,corticosteroid,eyes,myasthenia gravis,neuromuscular junction
constant shaking,dopamine agonist,brain,Parkinson’s disease,chronic
burning sensation in limbs,immunosuppressant,nerves,small fiber neuropathy,rare nerve damage
balance issues,rehabilitation,brain,spinocerebellar ataxia,genetic disorder
fatigue + rash,immunosuppressive drugs,skin,lupus erythematosus,systemic flare
muscle stiffness,physiotherapy,legs,stiff person syndrome,neurological disorder
numbness in fingers,corticosteroid,spine,multiple sclerosis,relapse episode
difficulty swallowing,immunotherapy,throat,myasthenia gravis,nerve transmission failure
hand tremor,dopamine therapy,arms,Parkinson’s disease,slow movement
diarrhea + weight loss,gluten-free diet,intestine,celiac disease,autoimmune intolerance
dry skin + eye pain,lubricating drops,eyes,Sjögren’s syndrome,gland dysfunction
muscle pain + weakness,corticosteroid,body,polymyositis,autoimmune
dark skin pigmentation,hormone therapy,body,Addison’s disease,adrenal insufficiency
unsteady steps,physiotherapy,legs,ataxia,coordination loss
arm numbness,IV therapy,spine,transverse myelitis,nerve inflammation
muscle cramp + fatigue,vitamin therapy,muscles,hypokalemic periodic paralysis,electrolyte issue
difficulty speaking,physiotherapy,face,ALS,motor neuron degeneration
droopy eyelid,steroid therapy,eyes,myasthenia gravis,autoimmune neuromuscular
skin rash + fever,steroid treatment,skin,dermatomyositis,autoimmune flare
